city,years,area,rooms,price,avg_heat_per_m,created_at,updated_at,url
Klaipėda,1956,100,3,105000,,2019-09-19,2019-10-30,https://www.aruodas.lt/butai-klaipedoje-poilsyje-minijos-g-parduoda-savininkas-mes-susitarsime-del-1-2762593/
Vilnius,1990,78,4,86000,"84,24",2019-02-12,2019-11-19,https://www.aruodas.lt/butai-vilniuje-jeruzaleje-bitininku-g-parduodamas-4-kambariu-butas-jeruzaleje-1-2674597/
Vilnius,1940,119,4,330000,"86,87",2019-12-01,2019-12-01,https://www.aruodas.lt/butai-vilniuje-senamiestyje-subaciaus-g-parduodamas-unikalus-butas-istoriniame-name-1-2822807/
Vilnius,1974,47,2,70000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-karoliniskese-igno-simulionio-g-parduodamas-2-ju-kambariu-butas-vilniuje-1-2823735/
Palanga,2018,"36,32",2,99000,,2019-09-30,2019-12-03,https://www.aruodas.lt/butai-palangoje-vanagupes-g-parduodamas-sviesus-i-rytu-puse-orientuotas-1-2788079/
Palanga,2019,"49,28",3,169000,,2019-09-05,2019-12-03,https://www.aruodas.lt/butai-palangoje-maironio-g-maironio-namai-naujas-projektas-palangos-1-2777439/
Neringos m.,2015,"56,03",2,175000,,2019-10-17,2019-12-02,https://www.aruodas.lt/butai-neringoje-l-rezos-g-parduodami-kompaktiski-2-kambariu-1-2800979/
Klaipėda,2009,63,2,107000,,2019-08-14,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-centre-kuosu-g-parduodamas-sviesus-kampinis-butas-1-2749355/
Klaipėda,1967,61,3,67000,,2019-09-12,2019-12-02,https://www.aruodas.lt/butai-klaipedoje-centre-sausio-15-osios-g-parduoda-savininkas-mes-susitarsime-del-1-2762237/
Kaunas,1978,18,1,22900,"12,06",2019-11-12,2019-12-03,https://www.aruodas.lt/butai-kaune-aleksote-veiveriu-g-parduodamas-pilnai-susemontuotas-1-kambario-1-2813349/
Vilnius,2006,81,3,140000,,2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-santariskese-j-franko-g-patogiai-suplanuotas-gyvenimui-butas-1-2823165/
Kaunas,2008,"74,59",3,110000,,2019-11-13,2019-12-02,https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-sviesus-ir-jaukus-3-kambariu-1-2814149/
Kaunas,2008,"82,51",3,122000,,2019-11-29,2019-12-02,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-parduodamas-erdvus-ir-sviesus-8251-kvm-1-2822121/
Vilnius,1986,79,3,143000,"82,95",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-antakalnyje-svyturio-g-r-noretumete-gyventi-antakalnyje-puikiai-1-2823619/
Klaipėda,1978,48,2,62500,,2019-10-03,2019-12-02,https://www.aruodas.lt/butai-klaipedoje-debrecene-debreceno-g-savininkas-parduoda-2-ju-kambariu-buta-54a-1-2793533/
Vilnius,2007,86,3,259000,"41,28",2019-11-28,2019-12-02,https://www.aruodas.lt/butai-vilniuje-uzupyje-kriviu-g-parduodamas-3-ju-kambariu-butas-uzupyje-1-2821459/
Vilnius,2010,"132,29",5,369000,"76,73",2019-11-28,2019-11-28,https://www.aruodas.lt/butai-vilniuje-senamiestyje-a-strazdelio-g-parduodami-prabangus-apartamentai-strazdelio-1-2697405/
Vilnius,2010,"78,46",4,227000,"45,51",2019-11-18,2019-11-28,https://www.aruodas.lt/butai-vilniuje-senamiestyje-a-strazdelio-g-parduodami-prabangus-4-kambariu-apartamentai-1-2735063/
Vilnius,2010,"102,77",5,297000,"59,61",2019-11-28,2019-11-28,https://www.aruodas.lt/butai-vilniuje-senamiestyje-a-strazdelio-g-parduodami-prabangus-4-kambariu-apartamentai-1-2736391/
Vilnius,1998,158,4,259000,,2019-08-06,2019-12-02,https://www.aruodas.lt/butai-vilniuje-antakalnyje-kariu-kapu-g-isikurkite-viename-zaliausiu-ir-labiausiai-1-2764335/
Vilnius,2019,"81,32",3,188000,,2019-11-15,2019-11-29,https://www.aruodas.lt/butai-vilniuje-valakampiuose-vaidilutes-g-demesio-gruodzio-10-d-antradieni-15-19-1-2814881/
Kaunas,1912,"70,33",3,99900,,2019-11-16,2019-12-03,https://www.aruodas.lt/butai-kaune-centre-e-ozeskienes-g-ar-jusu-svajone-yra-gyventi-miesto-centre-1-2815261/
Vilnius,2019,45,2,74990,,2019-12-01,2019-12-02,https://www.aruodas.lt/butai-vilniuje-pilaiteje-bitenu-g-parduodami-katik-baigti-naujos-statybos-1-2822571/
Klaipėda,1984,"43,11",1,39000,,2019-10-17,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-vingio-mikrorajone-vyturio-g-holas-su-iejimu-i-balkona-erdvus-svetaines-1-2800887/
Kaunas,1971,48,2,56000,"28,80",2019-12-03,2019-12-03,https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-dainavoje-parduodamas-negyventas-kapitaliai-1-2823695/
Kaunas,2008,46,2,62500,,2019-11-21,2019-12-03,https://www.aruodas.lt/butai-kaune-aleksote-zilviciu-g-pilnai-irengtas-butas-naujos-statybos-name-1-2818085/
Kaunas,2018,59,3,111900,,2019-11-19,2019-12-02,https://www.aruodas.lt/butai-kaune-fredoje-vilties-g-parduodamas-butas-prie-pat-botanikos-sodo-1-2816783/
Kauno r. sav.,2019,"73,5",3,75500,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-kauno-rajone-giraites-k-3k-butas-su-pilna-apdaila-parduodamas-1-2823217/
Vilnius,2017,65,3,127900,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-parduodamas-3-k-butas-su-vaizdu-i-miskeli-m-1-2823953/
Kaunas,1984,"66,22",3,58000,"45,69",2019-11-08,2019-12-02,https://www.aruodas.lt/butai-kaune-zaliakalnyje-taikos-pr-parduodamas-butas-zaliakalnyje-triju-1-2726829/
Kaunas,1967,61,3,68800,"31,72",2019-11-18,2019-12-03,https://www.aruodas.lt/butai-kaune-dainavoje-birzelio-23-iosios-g-parduodamas-3kbutas-po-kapitalinio-remonto-1-2816473/
Vilnius,2002,57,2,87000,,2019-09-29,2019-11-30,https://www.aruodas.lt/butai-vilniuje-jeruzaleje-kazio-borutos-g-parduodamas-kokybiskas-naujos-statybos-1-2780383/
