city,years,area,rooms,price,url
Klaipėdos m.,1981,17,1,8900,https://www.skelbiu.lt/skelbimai/parduodamas-35254669.html
Karmėlavos II k.,1982,"31,11",1,30000,https://www.skelbiu.lt/skelbimai/vieno-kambario-butas-karmelavoje-45133359.html
Marijampolės m.,1980,73,4,55000,https://www.skelbiu.lt/skelbimai/tvarkingas-4-iu-kambariu-butas-45132581.html
Vilniaus m.,2019,"40,85",2,99500,https://www.skelbiu.lt/skelbimai/naujos-statybos-2k-butas-zirmunuose-45132199.html
Druskininkų m.,2018,41,2,90000,https://www.skelbiu.lt/skelbimai/irengtas-butas-pardavimui-arba-nuomai-43292651.html
Mažeikių m.,1986,64,3,29500,https://www.skelbiu.lt/skelbimai/skubiai-parduodu-3-ju-kamb-buta-4-a-ventos-g-42155169.html
Palangos m.,1996,78,4,52000,https://www.skelbiu.lt/skelbimai/parduodamas-4-kamb-butas-pusyno-g-sventojoje-45127595.html
Švenčionėlių m.,1980,67,3,16000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kam-butas-svencioneliu-mieste-67kv-m-44539201.html
Alytaus m.,1977,"77,60",4,55000,https://www.skelbiu.lt/skelbimai/parduodamas-4-kambariu-butas-45126487.html
Plungės m.,1973,72,4,41900,https://www.skelbiu.lt/skelbimai/4kambariu-butas-v-macernio-gatveje-23594525.html
Klaipėdos m.,1985,"76,55",3,65000,https://www.skelbiu.lt/skelbimai/parduodamas-3-iu-kambariu-butas-su-holu-45124543.html
Jonavos m.,1973,33,1,18900,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-45121853.html
Tauragės m.,1986,45,2,33000,https://www.skelbiu.lt/skelbimai/dvieju-kambariu-butas-45121659.html
Mažeikių m.,1975,48,2,29000,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-renovuotame-name-39828587.html
Klaipėdos m.,1992,54,2,70000,https://www.skelbiu.lt/skelbimai/butas-parduoda-savininkas-45120013.html
Mažeikių m.,1984,49,2,36200,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-renovuotame-neme-45119951.html
Šilutės m.,1980,33,1,19000,https://www.skelbiu.lt/skelbimai/1-kambario-butas-siluteje-41947977.html
Šiaulių m.,1970,50,2,50000,https://www.skelbiu.lt/skelbimai/parduoda-45119147.html
Klaipėdos m.,1962,33,1,34000,https://www.skelbiu.lt/skelbimai/parduodu-1-kambario-buta-statybininku-9-1-45115209.html
Raudoniškio k.,1984,48,2,12000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-raudoniskio-kaime-45114209.html
Kuršėnų m.,1976,"50,47",2,23000,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-kursenu-mieste-45112805.html
Klaipėdos m.,1988,52,2,55000,https://www.skelbiu.lt/skelbimai/kapitalinis-remontas-perplanuotas-erdvus-butas-41045703.html
Rokiškio m.,1991,52,2,16999,https://www.skelbiu.lt/skelbimai/parduodamas-2kambariu-butas-45108983.html
Alytaus m.,1975,"49,05",2,24500,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-alytaus-senamiestyje-44458597.html
