city,years,area,price,avg_heat_per_m,url
Kauno r. sav.,2019,52,56500,,https://www.aruodas.lt/butai-kauno-rajone-giraites-k-butai-tiesiogiai-is-statytojo-butas-yra-1-2798825/
Klaipėda,1979,"73,24",67900,,https://www.aruodas.lt/butai-klaipedoje-paupiuose-jaunystes-g-parduodamas-naujai-suremontuotas-butas-1-2734649/
Kaunas,2001,"79,13",107500,,https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-parduodamas-3-k-butas-dainavoje-partizanu-1-2798549/
Klaipėda,1969,46,45000,,https://www.aruodas.lt/butai-klaipedoje-misko-mikrorajone-kretingos-g-kretingos-g-pradzioje-parduodamas-2-ju-1-2799865/
Vilnius,1998,"240,91",200000,,https://www.aruodas.lt/butai-vilniuje-visoriuose-noragiskiu-g-kvieciame-i-atvirus-namus-spalio-18d-nuo-12-1-2797915/
Kaunas,2014,115,239000,,https://www.aruodas.lt/butai-kaune-fredoje-bitininku-g-parduodamas-kotedzas-prestizineje-vietoje-1-2769011/
Vilnius,1987,67,70000,"55,61",https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-medeinos-g-parduodamas-puikaus-isplanavimo-3-kambariu-1-2798101/
Vilnius,1968,68,67000,"52,36",https://www.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-labai-tvarkingas-gero-1-2788047/
Kaunas,2018,"64,12",102866,"8,98",https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-didelis-pasirinkimas-pilnai-irengtu-triju-1-2796285/
Vilnius,2006,48,89000,,https://www.aruodas.lt/butai-vilniuje-santariskese-santariskiu-g-parduodamas-sviesus-butas-studija-su-terasa-1-2632255/
Klaipėda,2005,"82,33",104000,,https://www.aruodas.lt/butai-klaipedoje-centre-baltijos-pr-8233-kvm-butas-su-pilna-apdaila-baigtumas-1-2699447/
Druskininkų m.,2015,"39,88",40155,,https://www.aruodas.lt/butai-druskininkuose-merkines-g-parduodamas-naujas-1-kambario-butas-naujame-1-1788937/
Druskininkų m.,2015,"39,68",54400,,https://www.aruodas.lt/butai-druskininkuose-merkines-g-statytojas-be-tarpininku-parduoda-nauja-1-2635925/
Druskininkų m.,2015,"40,21",56170,,https://www.aruodas.lt/butai-druskininkuose-merkines-g-statytojas-be-tarpininku-parduoda-nauja-1-2635929/
Druskininkų m.,2015,"40,01",56325,,https://www.aruodas.lt/butai-druskininkuose-merkines-g-statytojas-be-tarpininku-parduoda-nauja-1-2635935/
Druskininkų m.,2009,"56,67",68000,,https://www.aruodas.lt/butai-druskininkuose-neravu-g-statytojas-be-tarpininku-parduoda-nauja-1-2635937/
Vilnius,1910,"78,62",190000,"100,63",https://www.aruodas.lt/butai-vilniuje-senamiestyje-j-basanaviciaus-g-parduodamas-butas-istoriniame-name-1-2788601/
Kaunas,2020,"69,37",131803,,https://www.aruodas.lt/butai-kaune-centre-krevos-g-parko-namai-tai-isskirtinis-uzdaras-nauju-1-2758741/
Klaipėda,2016,"33,42",53500,,https://www.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodamas-1-kambario-butas-su-pilna-1-2774137/
Vilnius,1997,93,168000,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-petro-rimsos-g-skubiai-parduodamas-93-m-butas-antakalnyje-1-2799223/
Klaipėda,1900,40,65000,,https://www.aruodas.lt/butai-klaipedoje-senamiestyje-smilties-pylimo-g-parduodamas-2-kambariu-palepinis-mansadinis-1-2795063/
Vilnius,1990,"40,23",47000,,https://www.aruodas.lt/butai-vilniuje-seskineje-gelvonu-g-parduodamas-butas-gelvonu-g-seskineje-1-2794139/
Kaunas,2019,61,82000,,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-tarp-azuolyno-draustinio-ir-lampedziu-ezero-1-2795815/
Palanga,2019,"29,66",89000,,https://www.aruodas.lt/butai-palangoje-maironio-g-naujas-projektas-palangos-miesto-sirdyje-1-2777399/
Neringos m.,2019,"37,05",119000,,https://www.aruodas.lt/butai-neringoje-kalno-g-parduodamas-pilnai-irengtas-naujos-statybos-1-2727237/
Vilnius,1980,"50,16",66000,,https://www.aruodas.lt/butai-vilniuje-seskineje-dukstu-g-parduodamas-2-ju-kambariu-5016-m-butas-1-2796887/
Vilnius,2004,"71,65",159900,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-saules-g-parduodamas-erdvus-pilnai-irengtas-patogaus-1-2795599/
Kaunas,1974,"46,3",58500,"25,93",https://www.aruodas.lt/butai-kaune-vilijampoleje-k-griniaus-g-parduodamas-4630-kvm-2-kmbr-butas-k-1-2789875/
Kaunas,2009,"70,4",107000,,https://www.aruodas.lt/butai-kaune-aleksote-versmes-g-buto-aprasymas-plotas-7040-kvm-1-2789877/
Kaunas,1885,53,130000,,https://www.aruodas.lt/butai-kaune-senamiestyje-vilniaus-g-parduodamas-53-kvm-2-kmbr-butas-1-2796317/
Kaunas,2006,60,75000,,https://www.aruodas.lt/butai-kaune-silainiuose-baltu-pr-parduodamas-60-kvm-2-kmbr-butas-baltu-pr-1-2794059/
Vilnius,1985,"52,21",62500,,https://www.aruodas.lt/butai-vilniuje-seskineje-seskines-g-parduodamas-sviesus-ir-jaukus-52-kvm-1-2786117/
Vilnius,1984,"40,51",52500,"34,43",https://www.aruodas.lt/butai-vilniuje-zemuosiuose-paneriuose-vaduvos-g-parduodamas-tvarkingas-suremontuotas-1-1-2796703/
Vilnius,2017,50,129000,,https://www.aruodas.lt/butai-vilniuje-snipiskese-zalgirio-g-parduodamas-naujai-irengtas-2-kambariu-butas-1-2799921/
Vilnius,2019,"88,85",244338,,https://www.aruodas.lt/butai-vilniuje-snipiskese-konstitucijos-pr-tower-namai-tiems-kurie-nori-gyventi-1-2784745/
Palanga,2019,"37,26",69208,,https://www.aruodas.lt/butai-palangoje-sventojoje-juros-g-apartamentai-kopose-nauju-butu-ir-poilsio-1-2740021/
Vilnius,1965,99,180000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-puikioje-vilniaus-miesto-naujamiescio-dalyje-1-2795297/
Vilnius,2002,71,169000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-mindaugo-g-parduodamas-puikus-3-kambariu-butas-71-kv-m-1-2790999/
Vilnius,2018,"42,91",110931,,https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-kurkite-naujas-savo-namu-tradicijas-projekte-1-2798595/
Vilnius,2019,"51,09",93332,,https://www.aruodas.lt/butai-vilniuje-bajoruose-salaspilio-g-naujas-namas-jaukioje-gyvenvieteje-bajoru-1-2798829/
