city,years,area,price,avg_heat_per_m,url
Kauno m.,1995,"18,57",40000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-2-butas-44210005.html
Vilniaus m.,1965,45,49000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kamb-butas-naujoje-vilnioje-44208541.html
Telšių m.,1976,"64,09",35000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-telsiuose-44208005.html
Plungės m.,1947,30,11000,,https://www.skelbiu.lt/skelbimai/parduodamas-2k-butas-44207759.html
Kauno m.,1989,51,50000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-butas-eiguliuose-40339247.html
Kauno m.,1962,"60,26",59500,,https://www.skelbiu.lt/skelbimai/nestandartinio-isplanavimo-butas-44205409.html
Klaipėdos m.,1970,48,50000,,https://www.skelbiu.lt/skelbimai/2k-butas-baltijos-pr-44205115.html
Alytaus m.,1987,41,24900,,https://www.skelbiu.lt/skelbimai/parduodu-tvarkinga-vieno-kambario-buta-41786911.html
Varėnos m.,1980,34,22000,,https://www.skelbiu.lt/skelbimai/butas-pardavimui-44009861.html
Klaipėdos m.,2006,"60,65",69000,,https://www.skelbiu.lt/skelbimai/taikos-pr-netoli-big-2-ju-kambariu-butas-60-kv-44201389.html
Zarasų m.,1979,65,16500,,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-39263223.html
Šiaulių m.,1980,64,48000,,https://www.skelbiu.lt/skelbimai/parduodamas-3k-butas-siauliuose-geguziu-g-44200891.html
Radviliškio m.,1978,32,10000,,https://www.skelbiu.lt/skelbimai/butas-radviliskyje-44200003.html
Šiaulių m.,1990,56,16500,,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-k-butas-silenuose-41562701.html
Kauno m.,1987,81,50000,,https://www.skelbiu.lt/skelbimai/parduodu-41656535.html
Plungės m.,1986,78,45500,,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-su-holu-44200139.html
Kauno m.,1920,70,200000,,https://www.skelbiu.lt/skelbimai/parduodamas-triju-kambariu-butas-44199617.html
Juknaičių k.,1901,"55,27",14000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-su-ukiniu-pastatu-42424349.html
Klaipėdos m.,1969,25,30000,,https://www.skelbiu.lt/skelbimai/1-no-k-b-debreceno-g-5-2-44198679.html
Vilniaus m.,1970,"17,70",16000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-bendrabucio-tipo-butas-44198313.html
Klaipėdos m.,1975,33,39000,,https://www.skelbiu.lt/skelbimai/1kambario-baltijos-pr-taikos-pr-44197885.html
Klaipėdos m.,1978,46,42900,,https://www.skelbiu.lt/skelbimai/2-k-butas-reikjaviko-g-44197459.html
Klaipėdos m.,1954,36,52000,,https://www.skelbiu.lt/skelbimai/parduodu-2-ju-kambariu-buta-44197317.html
Kalvarijos m.,1980,61,21000,,https://www.skelbiu.lt/skelbimai/triju-kambariu-butas-43592243.html
Telšių m.,1992,50,21500,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-43387071.html
Kauno m.,1969,48,55000,,https://www.skelbiu.lt/skelbimai/parduodamas-2k-butas-43577907.html
Tauragės m.,1980,50,40000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-taurageje-44195209.html
Pagirių k.,1988,68,72000,,https://www.skelbiu.lt/skelbimai/parduodamas-patrauklus-butas-37432729.html
Vilniaus m.,1965,"29,26",58000,,https://www.skelbiu.lt/skelbimai/parduodu-1-kamb-buta-42493199.html
Ventos m.,1992,"29,50",10000,,https://www.skelbiu.lt/skelbimai/akmenes-raj-ventoje-parduodamas-1-kambario-butas-43023495.html
Druskininkų m.,2019,"163,96",145000,,https://www.skelbiu.lt/skelbimai/ekonomiskas-erdvus-ir-jaukus-butas-su-namu-valda-44192625.html
Švenčionėlių m.,1979,52,10000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kamb-butas-svencioneliuose-38013363.html
Panevėžio m.,1986,36,27000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44191855.html
Šilalės m.,1966,25,5000,,https://www.skelbiu.lt/skelbimai/parduodami-2-kambariai-bendrabutyje-42642899.html
Jonavos m.,1987,68,30000,,https://www.skelbiu.lt/skelbimai/parduodu-3-kamb-buta-reikia-remonto-44190011.html
Anykščių m.,1964,64,45000,,https://www.skelbiu.lt/skelbimai/butas-jaukioje-gamtos-apsuptyje-42974215.html
Alantos mstl.,1975,78,13999,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-41093973.html
Druskininkų m.,2009,40,52000,,https://www.skelbiu.lt/skelbimai/pard-40m-rekonst-butas-studija-2k-6a-druskinkuose-43581217.html
Klaipėdos m.,1962,18,9000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-18-kv-m-44188687.html
Ukmergės m.,1987,37,10500,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44188487.html
Panevėžio m.,1979,"52,40",45000,,https://www.skelbiu.lt/skelbimai/parduodu-buta-44188385.html
Gruzdžių mstl.,1985,54,22000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-netoli-gruzdziu-miestelio-centro-44185963.html
Kauno m.,1978,62,63000,,https://www.skelbiu.lt/skelbimai/parduodamas-44181831.html
Kauno m.,2003,"325,43",189000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-privaciame-name-zaliakalnyje-44180549.html
Klaipėdos m.,2012,82,130000,,https://www.skelbiu.lt/skelbimai/naujos-statybos-3-u-kambariu-prie-bigo-taikos-p-44178293.html
Vilniaus m.,1987,"52,07",62500,,https://www.skelbiu.lt/skelbimai/parduodu-2k-buta-44173719.html
Alytaus m.,1977,64,41000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kamb-butas-statybininku-g-8-9a-41293891.html
Varėnos m.,1983,37,16000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-42976691.html
